epoch,hr,ndcg
1,0.10180623973727422,0.04765714686946219
2,0.10509031198686371,0.048821504376240187
4,0.10344827586206896,0.050753381154503216
6,0.11001642036124795,0.05200017454382992
8,0.10016420361247948,0.049395596986747635
10,0.09852216748768473,0.049742040346199605
12,0.10509031198686371,0.05306132251775362
14,0.10509031198686371,0.052210590620231416
16,0.11658456486042693,0.05518424714759325
18,0.12479474548440066,0.05756796074658576
20,0.12479474548440066,0.05843466118279355
22,0.13464696223316913,0.06419079952727408
24,0.14285714285714285,0.06745756234111257
26,0.14942528735632185,0.0723972439369632
28,0.1477832512315271,0.07341672553121222
30,0.15270935960591134,0.0743146651371683
