epoch,hr,ndcg
1,0.12643678160919541,0.06054104681085597
2,0.16091954022988506,0.08648799399528989
4,0.28407224958949095,0.15546075947889104
6,0.4236453201970443,0.2464319421947773
8,0.5123152709359606,0.31426473642560415
10,0.5632183908045977,0.35823052384264364
12,0.6009852216748769,0.3858634656787309
14,0.6141215106732348,0.3982139080989743
16,0.6223316912972086,0.41330519061042076
18,0.6486042692939245,0.4305013450087247
20,0.6436781609195402,0.43711184696314376
22,0.6469622331691297,0.44170971155158345
24,0.6699507389162561,0.453352801784325
26,0.6863711001642037,0.4618551512431835
28,0.6962233169129721,0.46715459466245673
30,0.7060755336617406,0.47533997617609997
