epoch,hr,ndcg
1,0.09359605911330049,0.039179114899696325
2,0.09688013136288999,0.04020845701177803
4,0.10509031198686371,0.0442444622527268
6,0.10509031198686371,0.04561517534371457
8,0.1116584564860427,0.04764612121554005
10,0.10837438423645321,0.047475251592354946
12,0.11658456486042693,0.051220308633217186
14,0.11822660098522167,0.05322178432005759
16,0.1297208538587849,0.05778960071881867
18,0.12479474548440066,0.057514419673178094
20,0.12479474548440066,0.05942327196892941
22,0.1330049261083744,0.06294061227292956
24,0.13628899835796388,0.0653974140175775
26,0.1330049261083744,0.06572401191978544
28,0.13957307060755336,0.06928442761221161
30,0.15270935960591134,0.07419649881093901
